data_type,n,d,livello,rep,method,measure,acc./ARI
Gauss,100,10,facile,20,umap,tree,0.87
Gauss,100,10,facile,20,pca,kmeans,0.5433
Gauss,100,10,facile,20,pca,tree,0.89
Torus,100,10,facile,20,tsne,kmeans,0.1066
Torus,100,10,facile,20,tsne,tree,0.95
Torus,100,10,facile,20,umap,kmeans,0.1209
Torus,100,10,facile,20,umap,tree,0.97
Torus,100,10,facile,20,pca,kmeans,0.0933
Torus,100,10,facile,20,pca,tree,0.87
Gauss,100,10,facile,21,tsne,kmeans,0.3065
Gauss,100,10,facile,21,tsne,tree,0.84
Gauss,100,10,facile,21,umap,kmeans,0.3295
Gauss,100,10,facile,21,umap,tree,0.85
Gauss,100,10,facile,21,pca,kmeans,0.4839
Gauss,100,10,facile,21,pca,tree,0.88
Torus,100,10,facile,21,tsne,kmeans,0.5135
Torus,100,10,facile,21,tsne,tree,0.94
Torus,100,10,facile,21,umap,kmeans,0.4848
Torus,100,10,facile,21,umap,tree,0.89
Torus,100,10,facile,21,pca,kmeans,0.3067
Torus,100,10,facile,21,pca,tree,0.93
Gauss,100,10,facile,22,tsne,kmeans,0.6364
Gauss,100,10,facile,22,tsne,tree,0.9
Gauss,100,10,facile,22,umap,kmeans,0.6044
Gauss,100,10,facile,22,umap,tree,0.91
Gauss,100,10,facile,22,pca,kmeans,0.6045
Gauss,100,10,facile,22,pca,tree,0.93
Torus,100,10,facile,22,tsne,kmeans,0.3296
Torus,100,10,facile,22,tsne,tree,0.99
Torus,100,10,facile,22,umap,kmeans,0.5431
Torus,100,10,facile,22,umap,tree,0.92
Torus,100,10,facile,22,pca,kmeans,0.1854
Torus,100,10,facile,22,pca,tree,0.88
Gauss,100,10,facile,23,tsne,kmeans,0.6045
Gauss,100,10,facile,23,tsne,tree,0.91
Gauss,100,10,facile,23,umap,kmeans,0.6691
Gauss,100,10,facile,23,umap,tree,0.87
Gauss,100,10,facile,23,pca,kmeans,0.6691
Gauss,100,10,facile,23,pca,tree,0.92
Torus,100,10,facile,23,tsne,kmeans,0.3536
Torus,100,10,facile,23,tsne,tree,0.91
Torus,100,10,facile,23,umap,kmeans,0.3298
Torus,100,10,facile,23,umap,tree,0.93
Torus,100,10,facile,23,pca,kmeans,0.1854
Torus,100,10,facile,23,pca,tree,0.83
Gauss,100,10,facile,24,tsne,kmeans,0.4569
Gauss,100,10,facile,24,tsne,tree,0.89
Gauss,100,10,facile,24,umap,kmeans,0.5135
Gauss,100,10,facile,24,umap,tree,0.88
Gauss,100,10,facile,24,pca,kmeans,0.5136
Gauss,100,10,facile,24,pca,tree,0.9
Torus,100,10,facile,24,tsne,kmeans,0.2036
Torus,100,10,facile,24,tsne,tree,0.88
Torus,100,10,facile,24,umap,kmeans,0.5735
Torus,100,10,facile,24,umap,tree,0.93
Torus,100,10,facile,24,pca,kmeans,0.0691
Torus,100,10,facile,24,pca,tree,0.86
Gauss,100,10,facile,25,tsne,kmeans,0.5733
Gauss,100,10,facile,25,tsne,tree,0.92
Gauss,100,10,facile,25,umap,kmeans,0.4849
Gauss,100,10,facile,25,umap,tree,0.91
Gauss,100,10,facile,25,pca,kmeans,0.4851
Gauss,100,10,facile,25,pca,tree,0.91
Torus,100,10,facile,25,tsne,kmeans,0.2847
Torus,100,10,facile,25,tsne,tree,0.96
Torus,100,10,facile,25,umap,kmeans,0.6691
Torus,100,10,facile,25,umap,tree,0.95
Torus,100,10,facile,25,pca,kmeans,0.0934
Torus,100,10,facile,25,pca,tree,0.91
Gauss,100,10,facile,26,tsne,kmeans,0.737
Gauss,100,10,facile,26,tsne,tree,0.9
Gauss,100,10,facile,26,umap,kmeans,0.6046
Gauss,100,10,facile,26,umap,tree,0.93
Gauss,100,10,facile,26,pca,kmeans,0.6365
Gauss,100,10,facile,26,pca,tree,0.93
Torus,100,10,facile,26,tsne,kmeans,0.5137
Torus,100,10,facile,26,tsne,tree,0.93
Torus,100,10,facile,26,umap,kmeans,0.6691
Torus,100,10,facile,26,umap,tree,0.93
Torus,100,10,facile,26,pca,kmeans,0.263
Torus,100,10,facile,26,pca,tree,0.91
Gauss,100,10,facile,27,tsne,kmeans,0.457
Gauss,100,10,facile,27,tsne,tree,0.91
Gauss,100,10,facile,27,umap,kmeans,0.4041
Gauss,100,10,facile,27,umap,tree,0.92
Gauss,100,10,facile,27,pca,kmeans,0.5648
Gauss,100,10,facile,27,pca,tree,0.91
Torus,100,10,facile,27,tsne,kmeans,0.2844
Torus,100,10,facile,27,tsne,tree,0.94
Torus,100,10,facile,27,umap,kmeans,0.2036
Torus,100,10,facile,27,umap,tree,0.93
Torus,100,10,facile,27,pca,kmeans,0.168
